id,시군구코드,행정구역(구별),상세영업상태명,폐업일자,업태구분명,소재지면적,지번주소,좌표정보(X),좌표정보(Y)
0,11590,동작구,영업,"",기타,163.96,서울특별시 동작구 흑석동 223-1번지,196392.468179128,445005.685281515
1,11590,동작구,영업,"",중식,321.03,서울특별시 동작구 흑석동 184-18,196476.299465953,445115.461568639
2,11590,동작구,영업,"",중식,29.93,서울특별시 동작구 노량진동 313-91,194518.281659565,445095.162744585
3,11590,동작구,영업,"",일식,71.41,서울특별시 동작구 사당동 130-16번지,198225.235648221,442855.371039548
4,11590,동작구,폐업,20191001,주점,23.19,서울특별시 동작구 사당동 130-13번지,198248.367149171,442855.005428587
5,11590,동작구,폐업,20180403,중식,39.54,서울특별시 동작구 사당동 1046-36번지,197959.791846477,441682.362492498
6,11590,동작구,영업,"",중식,91.84,서울특별시 동작구 상도동 210-202,194932.445255275,444020.811738331
7,11590,동작구,영업,"",한식,25.50,서울특별시 동작구 흑석동 97-22번지,196631.619618132,444933.034406885
8,11590,동작구,영업,"",치킨,43.98,서울특별시 동작구 흑석동 6-10번지,196762.663749474,445085.423734153
9,11590,동작구,폐업,20170210,한식,107.79,서울특별시 동작구 흑석동 190-4번지,196391.554210718,445050.999323622
10,11590,동작구,영업,"",한식,31.06,서울특별시 동작구 노량진동 29-5,194233.149695015,445641.889756939
11,11590,동작구,폐업,20180424,한식,21.72,서울특별시 동작구 신대방동 607-47번지,191718.67504286,442979.984216424
12,11590,동작구,폐업,20180416,양식,25.45,서울특별시 동작구 노량진동 312-43번지,194593.427654245,444981.548905735
13,11590,동작구,영업,"",한식,40.16,서울특별시 동작구 신대방동 361-39번지,193171.234503351,443993.685200411
14,11590,동작구,영업,"",한식,34.63,서울특별시 동작구 흑석동 52-26번지,196704.3045085,445072.12457357
15,11590,동작구,폐업,20190801,한식,90.81,서울특별시 동작구 노량진동 266-8번지,194230.777705254,445616.825703553
16,11590,동작구,폐업,20170714,한식,84.01,서울특별시 동작구 노량진동 16-1번지,194571.152376388,445790.549860682
17,11590,동작구,영업,"",양식,58.93,서울특별시 동작구 노량진동 27-13,194287.988103455,445644.651003678
18,11590,동작구,영업,"",한식,27.70,서울특별시 동작구 흑석동 97-6,196624.578896936,444980.106135956
19,11590,동작구,영업,"",한식,27.12,서울특별시 동작구 사당동 134-3 1층,198324.792421368,442835.25813918
20,11590,동작구,폐업,20170816,주점,31.39,서울특별시 동작구 본동 404-1번지,195607.091282789,445553.402132623
21,11590,동작구,영업,"",한식,102.43,서울특별시 동작구 상도동 183-17번지,194425.964501872,444621.202908272
22,11590,동작구,영업,"",중식,105.12,서울특별시 동작구 상도동 359-32번지,194342.771097591,444696.883487565
23,11590,동작구,영업,"",중식,11.71,서울특별시 동작구 상도동 299-1,193848.436544859,443747.809292769
24,11590,동작구,영업,"",한식,94.82,서울특별시 동작구 흑석동 184-19번지,196460.321428494,445092.998720615
25,11590,동작구,영업,"",한식,83.00,서울특별시 동작구 사당동 1030-9,198240.685712232,441995.562647229
26,11590,동작구,영업,"",주점,20.50,서울특별시 동작구 흑석동 97-22,196631.619618132,444933.034406885
27,11590,동작구,폐업,20190306,일식,24.32,서울특별시 동작구 사당동 321-114번지,197790.556730166,442326.174711123
28,11590,동작구,영업,"",한식,146.88,서울특별시 동작구 신대방동 687-14번지,191783.660567945,442895.186971937
29,11590,동작구,영업,"",한식,24.70,서울특별시 동작구 노량진동 243-15,194561.068568326,445507.924013867
30,11590,동작구,폐업,20191230,한식,16.40,서울특별시 동작구 사당동 1006-6번지,198179.060798018,442432.432850732
31,11590,동작구,영업,"",분식,26.65,서울특별시 동작구 흑석동 50-40,196739.626569472,445052.600490559
32,11590,동작구,영업,"",치킨,72.60,서울특별시 동작구 신대방동 607-28번지,191744.078521535,443034.73724398
33,11590,동작구,영업,"",한식,149.49,서울특별시 동작구 노량진동 44-21번지 중앙    5호,"",""
34,11590,동작구,폐업,20180323,한식,54.05,서울특별시 동작구 노량진동 265-1번지,194251.479675226,445622.132301726
35,11590,동작구,영업,"",한식,59.60,서울특별시 동작구 신대방동 685-12,191739.328430363,442924.562521885
36,11590,동작구,영업,"",한식,31.30,서울특별시 동작구 사당동 548-6번지,"",""
37,11590,동작구,폐업,20180731,한식,273.30,서울특별시 동작구 사당동 1008-20번지,198302.882425901,442242.339109372
38,11590,동작구,영업,"",한식,30.10,서울특별시 동작구 상도동 346-15번지,193989.784465803,444270.475663847
39,11590,동작구,영업,"",치킨,19.04,서울특별시 동작구 상도동 369-6번지,194604.517561222,444709.699920856
40,11590,동작구,영업,"",한식,101.16,서울특별시 동작구 노량진동 243-16번지 지하1층-지상1층,194575.543984777,445507.77024306
41,11590,동작구,영업,"",한식,83.00,서울특별시 동작구 사당동 318-77 321-114,197783.200666667,442334.421
42,11590,동작구,폐업,20190403,주점,37.02,서울특별시 동작구 노량진동 307-192번지,194568.137612433,445155.658493371
43,11590,동작구,영업,"",치킨,26.52,서울특별시 동작구 상도동 179-7번지,194631.08515664,444711.160386231
44,11590,동작구,영업,"",주점,36.58,서울특별시 동작구 사당동 318-13,197629.477544352,442303.756960284
45,11590,동작구,영업,"",분식,20.25,서울특별시 동작구 흑석동 6-10번지,196762.663749474,445085.423734153
46,11590,동작구,영업,"",한식,146.00,서울특별시 동작구 상도동 504,196177.608230897,443604.792897889
47,11590,동작구,영업,"",분식,24.00,서울특별시 동작구 사당동 1030-14번지,198284.48044046,441989.856380602
48,11590,동작구,영업,"",양식,19.80,서울특별시 동작구 사당동 139-88번지,198253.499030944,442749.776654521
49,11590,동작구,영업,"",한식,17.70,서울특별시 동작구 대방동 407-38 1층,193540.522788753,444117.032494836
50,11590,동작구,영업,"",한식,19.90,서울특별시 동작구 사당동 1031-1번지,198248.002318365,441959.753178135
51,11590,동작구,영업,"",한식,28.90,서울특별시 동작구 흑석동 190-35,196369.193733224,445039.619464055
52,11590,동작구,영업,"",한식,31.30,서울특별시 동작구 상도동 367-4번지 1층,194456.111601581,444653.592815636
