id,시군구코드,행정구역(구별),상세영업상태명,폐업일자,업태구분명,소재지면적,지번주소,좌표정보(X),좌표정보(Y)
0,11740,강동구,영업,"",기타,81.17,서울특별시 강동구 성내동 552-12번지,210674.270666754,447520.8645686
1,11740,강동구,폐업,20181029,치킨,59.73,서울특별시 강동구 천호동 410-5번지 410-4(2호),211242.217244361,448604.55362773
2,11740,강동구,영업,"",중식,87.45,서울특별시 강동구 암사동 463-26,211370.297955888,450054.614348058
3,11740,강동구,폐업,20170418,한식,67.20,서울특별시 강동구 천호동 412-3번지,211209.896771449,448636.019046393
4,11740,강동구,영업,"",한식,95.70,서울특별시 강동구 천호동 454-18,211081.039462132,448499.159458107
5,11740,강동구,영업,"",분식,18.88,서울특별시 강동구 천호동 415-29,211132.05433148,448553.359296556
6,11740,강동구,영업,"",중식,24.67,서울특별시 강동구 천호동 314-16번지,211170.174657939,449356.100003836
7,11740,강동구,영업,"",치킨,19.25,서울특별시 강동구 성내동 271-4번지,211115.499905641,447695.144303535
8,11740,강동구,영업,"",중식,58.74,서울특별시 강동구 성내동 320-7번지,210669.722533894,447616.778408859
9,11740,강동구,영업,"",중식,30.30,서울특별시 강동구 암사동 470-6번지,211538.746280511,450017.924443991
10,11740,강동구,영업,"",한식,52.29,서울특별시 강동구 천호동 454-20번지,211082.208786783,448519.171088731
11,11740,강동구,영업,"",한식,39.60,서울특별시 강동구 성내동 77-22번지,210853.302425204,448329.027249746
12,11740,강동구,영업,"",치킨,21.03,서울특별시 강동구 성내동 320-7번지,210669.722533894,447616.778408859
13,11740,강동구,영업,"",한식,70.43,서울특별시 강동구 천호동 454번지,211044.258417008,448451.178167942
14,11740,강동구,영업,"",한식,79.00,서울특별시 강동구 성내동 439-11번지,211802.440957506,447030.369343019
15,11740,강동구,영업,"",한식,26.52,서울특별시 강동구 성내동 50-5번지,211093.581666667,448340.502333334
16,11740,강동구,영업,"",기타,149.82,서울특별시 강동구 천호동 454-51,211131.97867601,448462.607964146
17,11740,강동구,영업,"",중식,48.56,서울특별시 강동구 천호동 312-15,211257.817132071,449392.215256357
18,11740,강동구,영업,"",중식,110.00,서울특별시 강동구 명일동 312-152번지,212582.263436485,449823.914363585
