id,시군구코드,행정구역(구별),상세영업상태명,폐업일자,업태구분명,소재지면적,지번주소,좌표정보(X),좌표정보(Y)
0,11680,강남구,영업,"",양식,950.66,서울특별시 강남구 삼성동 159번지,205130.591678902,445590.096837802
1,11680,강남구,영업,"",양식,473.24,서울특별시 강남구 삼성동 159번지,205130.591678902,445590.096837802
2,11680,강남구,영업,"",양식,282.59,서울특별시 강남구 삼성동 159번지,205130.591678902,445590.096837802
3,11680,강남구,폐업,20190805,한식,113.39,서울특별시 강남구 역삼동 830-31번지,202722.161687863,443575.914969499
4,11680,강남구,영업,"",한식,1157.90,서울특별시 강남구 삼성동 109-6번지,205662.873885873,445913.719788498
5,11680,강남구,폐업,20170413,양식,216.17,서울특별시 강남구 신사동 661-16번지,203332.547177571,447264.001473259
6,11680,강남구,영업,"",한식,90.75,서울특별시 강남구 청담동 126-6번지,204438.362727813,447036.905426773
7,11680,강남구,폐업,20180321,중식,103.38,서울특별시 강남구 역삼동 823-20번지,202793.66947612,443989.997982152
8,11680,강남구,영업,"",한식,39.26,서울특별시 강남구 논현동 141-17번지,201950.963698517,445408.624669046
9,11680,강남구,영업,"",한식,50.24,서울특별시 강남구 신사동 502-11번지,201684.704785227,446105.858997581
10,11680,강남구,폐업,20170927,중식,377.42,서울특별시 강남구 역삼동 678-23번지 2층3층,203311.975,444417.27
11,11680,강남구,영업,"",중식,39.54,서울특별시 강남구 대치동 974-1번지,205247.28025291,444294.591159178
12,11680,강남구,영업,"",한식,49.24,서울특별시 강남구 역삼동 678-11번지,203297.491333425,444452.295925353
13,11680,강남구,영업,"",한식,67.75,서울특별시 강남구 압구정동 454번지,202440.338882233,447782.51322707
14,11680,강남구,영업,"",한식,34.70,서울특별시 강남구 대치동 912-23 우진빌딩,204260.440080738,444651.823452262
15,11680,강남구,영업,"",한식,70.46,서울특별시 강남구 신사동 513-4번지,201773.37,446087.16
16,11680,강남구,영업,"",중식,187.15,서울특별시 강남구 대치동 626-205번지,"",""
17,11680,강남구,영업,"",한식,130.25,서울특별시 강남구 삼성동 166-8번지,205724.877921859,445498.758353056
18,11680,강남구,폐업,20171116,한식,45.74,서울특별시 강남구 삼성동 168-0번지,205489.781437806,445370.762240271
19,11680,강남구,영업,"",카페,20.00,서울특별시 강남구 대치동 280-4번지,"",""
20,11680,강남구,영업,"",중식,48.18,서울특별시 강남구 논현동 237-0번지,203175.63878024,445233.806285677
21,11680,강남구,폐업,20170417,한식,108.58,서울특별시 강남구 청담동 52-6번지,204594.043202753,446919.641265042
22,11680,강남구,영업,"",한식,887.09,서울특별시 강남구 신사동 623-4 58,202832.761586451,447001.321025411
23,11680,강남구,영업,"",한식,27.00,서울특별시 강남구 대치동 316-0번지 은마상가 A-동 110호,205707.089399978,443914.194133105
24,11680,강남구,영업,"",분식,27.84,서울특별시 강남구 대치동 276-14번지 은마상가 115호,"",""
25,11680,강남구,영업,"",한식,103.59,서울특별시 강남구 신사동 512-20번지,201718.922834407,446115.450554852
26,11680,강남구,영업,"",양식,213.71,서울특별시 강남구 삼성동 58-2번지 3,204936.566579531,446389.869325086
27,11680,강남구,영업,"",한식,28.80,서울특별시 강남구 역삼동 797-4,203420.877763246,443621.092003674
28,11680,강남구,영업,"",한식,45.37,서울특별시 강남구 삼성동 166-6번지,205707.361024519,445550.602656568
29,11680,강남구,폐업,20170310,한식,28.95,서울특별시 강남구 논현동 143-12번지,201968.474545223,445227.393468297
30,11680,강남구,영업,"",한식,17.72,서울특별시 강남구 신사동 615-1번지,202672.379135431,447313.362226154
31,11680,강남구,영업,"",한식,52.56,서울특별시 강남구 논현동 237-5번지,203219.16612821,445239.405224044
32,11680,강남구,영업,"",한식,41.84,서울특별시 강남구 역삼동 689-7번지,203599.250676847,444863.862847381
33,11680,강남구,영업,"",한식,52.07,서울특별시 강남구 대치동 908-2번지 외1필지지상1층102호,204492.683276536,444260.001202994
34,11680,강남구,폐업,20180430,한식,73.84,서울특별시 강남구 논현동 17-1번지,201720.64812368,445931.534916274
35,11680,강남구,영업,"",한식,111.95,서울특별시 강남구 삼성동 166-6번지,205707.361024519,445550.602656568
36,11680,강남구,영업,"",한식,24.74,서울특별시 강남구 역삼동 721-24번지,203766.650296316,444251.539352277
37,11680,강남구,영업,"",카페,30.55,서울특별시 강남구 대치동 131-0번지 은마    2동  219호,"",""
38,11680,강남구,영업,"",분식,57.80,서울특별시 강남구 대치동 922-0번지,204537.268564459,444062.784305557
39,11680,강남구,영업,"",분식,22.08,서울특별시 강남구 개포동 0번지,"",""
40,11680,강남구,영업,"",분식,32.54,서울특별시 강남구 세곡동 96-2번지,209606.298325623,440360.549984704
41,11680,강남구,영업,"",분식,25.26,서울특별시 강남구 세곡동 124-2번지,209423.649311203,440208.558412381
42,11680,강남구,영업,"",분식,49.58,서울특별시 강남구 세곡동 124-2,209423.649311203,440208.558412381
43,11680,강남구,영업,"",양식,100.06,서울특별시 강남구 논현동 65-17번지 지상1층,202568.700132724,446292.506008917
44,11680,강남구,영업,"",한식,61.12,서울특별시 강남구 삼성동 8-1번지,203668.690729336,445963.940248082
45,11680,강남구,영업,"",한식,52.26,서울특별시 강남구 삼성동 166-6번지,205707.361024519,445550.602656568
46,11680,강남구,영업,"",한식,45.57,서울특별시 강남구 삼성동 9-6번지,203718.456986689,445879.074926984
47,11680,강남구,영업,"",한식,212.33,서울특별시 강남구 삼성동 107-5번지 외2필지,205313.788359606,445854.851731672
48,11680,강남구,폐업,20171201,치킨,125.61,서울특별시 강남구 삼성동 168-0번지,205489.781437806,445370.762240271
49,11680,강남구,영업,"",한식,23.94,서울특별시 강남구 세곡동 124-2번지,209423.649311203,440208.558412381
50,11680,강남구,영업,"",한식,25.04,서울특별시 강남구 세곡동 99-11번지,209590.56842333,440377.184328629
51,11680,강남구,영업,"",한식,27.03,서울특별시 강남구 세곡동 96-1번지,209628.773156947,440361.989121116
52,11680,강남구,영업,"",분식,30.40,서울특별시 강남구 논현동 164-11번지,202008.512682196,445032.337435713
53,11680,강남구,영업,"",한식,43.10,서울특별시 강남구 신사동 615-1,202672.379135431,447313.362226154
54,11680,강남구,폐업,20191105,한식,59.66,서울특별시 강남구 신사동 503-2번지,201650.787158848,446226.277738975
55,11680,강남구,영업,"",한식,78.49,서울특별시 강남구 논현동 144-0번지,201972.436484458,445286.189676384
56,11680,강남구,영업,"",한식,50.75,서울특별시 강남구 논현동 144-1번지,201974.655881341,445262.693634406
57,11680,강남구,영업,"",한식,66.59,서울특별시 강남구 논현동 143-10번지,201956.872486637,445249.618642292
58,11680,강남구,영업,"",한식,37.38,서울특별시 강남구 삼성동 166-6번지,205707.361024519,445550.602656568
59,11680,강남구,영업,"",한식,20.16,서울특별시 강남구 대치동 316-0번지 은마상가 A브럭 7-6,205707.089399978,443914.194133105
60,11680,강남구,영업,"",분식,57.74,서울특별시 강남구 대치동 994-16번지,205969.3237202,444018.581768126
61,11680,강남구,영업,"",분식,18.20,서울특별시 강남구 신사동 661-1번지,203368.92423791,447298.458358351
62,11680,강남구,폐업,20170131,분식,37.38,서울특별시 강남구 청담동 44-11번지,204019.885569412,446252.323142083
63,11680,강남구,폐업,20171027,한식,76.44,서울특별시 강남구 삼성동 77-23번지,205116.195218249,445783.267094395
64,11680,강남구,영업,"",양식,41.34,서울특별시 강남구 역삼동 677-11번지 트리아관광호텔,203414.8682942,444515.570280103
65,11680,강남구,영업,"",한식,93.64,서울특별시 강남구 신사동 578-3,202352.367994529,447069.214058
66,11680,강남구,영업,"",한식,215.45,서울특별시 강남구 삼성동 52,204415.649463094,446263.403521675
