id,시군구코드,행정구역(구별),상세영업상태명,폐업일자,업태구분명,소재지면적,지번주소,좌표정보(X),좌표정보(Y)
8589934592,11680,강남구,영업,"",한식,79.20,서울특별시 강남구 역삼동 647-6번지 지상1층,202838.962723967,444252.642022705
8589934593,11680,강남구,영업,"",한식,60.00,서울특별시 강남구 삼성동 121-24번지 지하1층,204631.1905484,445449.11687254
8589934594,11680,강남구,영업,"",중식,89.25,서울특별시 강남구 압구정동 429-0 현대백화점 지상5층,202358.505687227,447232.955697694
8589934595,11680,강남구,영업,"",치킨,50.00,서울특별시 강남구 신사동 577-5번지 카로시티 지상1층105호,202323.397052056,447030.88837277
8589934596,11680,강남구,영업,"",양식,707.01,서울특별시 강남구 삼성동 158-24번지 지하1층,205087.038968593,445209.28575865
8589934597,11680,강남구,영업,"",일식,252.96,서울특별시 강남구 신사동 653-14 지상1층,203248.322988191,446838.621585721
8589934598,11680,강남구,영업,"",한식,25.20,서울특별시 강남구 역삼동 789-26번지 지상1층,203127.194991813,443561.832032341
8589934599,11680,강남구,폐업,20190220,양식,129.90,서울특별시 강남구 신사동 516-9번지 지상1층,201893.889716595,446287.148544293
8589934600,11680,강남구,폐업,20190219,양식,355.40,서울특별시 강남구 청담동 125-16번지 지하1층,204526.082052268,446991.199463016
8589934601,11680,강남구,영업,"",일식,96.96,서울특별시 강남구 신사동 525-16번지 지상1층,201763.144596451,446655.75553224
8589934602,11680,강남구,영업,"",양식,262.80,서울특별시 강남구 일원동 50 삼성의료원본관 지하1층,207534.49462606,442943.860447203
8589934603,11680,강남구,영업,"",양식,380.92,서울특별시 강남구 논현동 61-3번지 엠포리아빌딩 지하2층,202681.655965184,446446.993405047
8589934604,11680,강남구,영업,"",양식,711.83,서울특별시 강남구 역삼동 635-6번지 태리빌딩 지하B1B2,202504.315078742,444273.022019952
8589934605,11680,강남구,폐업,20171207,양식,594.87,서울특별시 강남구 청담동 83-13번지 지상1~4층,203609.609436938,447143.687940105
8589934606,11680,강남구,영업,"",양식,208.00,서울특별시 강남구 청담동 125-20번지 L.H빌딩 지하1층,204406.303568129,446988.192765407
8589934607,11680,강남구,폐업,20171201,일식,196.03,서울특별시 강남구 청담동 99-12번지,204002.554814115,446993.524333925
8589934608,11680,강남구,영업,"",양식,96.00,서울특별시 강남구 신사동 654-8번지 지상1층,203321.997982119,446898.525066852
8589934609,11680,강남구,영업,"",한식,70.75,서울특별시 강남구 논현동 85-1 지상1층,202828.516136999,445928.178249655
8589934610,11680,강남구,영업,"",한식,67.25,서울특별시 강남구 삼성동 127-8번지 초록빌딩 지상1층,204759.277245138,445290.906538774
8589934611,11680,강남구,폐업,20180523,패스트푸드,32.28,서울특별시 강남구 압구정동 369-1번지 5동104호,202398.594377612,447864.763737276
8589934612,11680,강남구,영업,"",한식,105.00,서울특별시 강남구 청담동 7-17번지 지상1층,204129.799621507,446787.726657287
8589934613,11680,강남구,영업,"",양식,86.24,서울특별시 강남구 신사동 650-17번지 지상1층,203086.741462243,446791.978338102
8589934614,11680,강남구,영업,"",양식,132.20,서울특별시 강남구 대치동 890-60 H타워 지상1층,204639.090092973,444728.353701831
8589934615,11680,강남구,영업,"",한식,29.25,서울특별시 강남구 수서동 736-0번지 신동아(아)상가2층209호,208636.679822655,442768.485693217
8589934616,11680,강남구,영업,"",한식,60.00,서울특별시 강남구 일원동 683-14번지 지하1층,207152.457534812,443211.810300295
8589934617,11680,강남구,영업,"",한식,33.48,서울특별시 강남구 개포동 189-0번지 개포주공4단지 라125호,206239.623997375,442598.51298973
8589934618,11680,강남구,영업,"",중식,36.63,서울특별시 강남구 역삼동 777-39번지 지상1층101호,203566.345,443628.930000001
8589934619,11680,강남구,영업,"",한식,33.00,서울특별시 강남구 개포동 186-7번지 지상1층2호,205996.639125311,442966.118102956
8589934620,11680,강남구,영업,"",치킨,60.00,서울특별시 강남구 개포동 1237-11번지 지상1층,204094.856392506,441774.000865353
8589934621,11680,강남구,영업,"",한식,122.93,서울특별시 강남구 청담동 120-10번지 지상2 층,204210.717871994,446978.498213307
8589934622,11680,강남구,영업,"",한식,33.00,서울특별시 강남구 역삼동 719-18번지 지상1층,203557.912978466,444347.552820127
8589934623,11680,강남구,영업,"",양식,68.80,서울특별시 강남구 신사동 629-19번지 101호,202832.73777601,446642.458015889
8589934624,11680,강남구,폐업,20180416,한식,16.52,서울특별시 강남구 삼성동 149-12번지 지상1층,204830.008805491,445490.271973009
8589934625,11680,강남구,폐업,20191206,한식,2349.86,서울특별시 강남구 역삼동 607-21번지 지상3층지상4층,202979.338100499,444781.7996864
8589934626,11680,강남구,영업,"",패스트푸드,39.97,서울특별시 강남구 대치동 941-18번지 지상1층,205271.870934962,444100.854765157
8589934627,11680,강남구,영업,"",한식,166.77,서울특별시 강남구 역삼동 798-12번지 지상1층,203495.916361856,443408.126247539
8589934628,11680,강남구,영업,"",분식,23.00,서울특별시 강남구 수서동 747-0번지 삼성(아)상가동 지하1호,207950.137458581,442526.253635088
