id,시군구코드,행정구역(구별),상세영업상태명,폐업일자,업태구분명,소재지면적,지번주소,좌표정보(X),좌표정보(Y)
0,11545,금천구,영업,"",중식,71.00,서울특별시 금천구 독산동 331-30번지,190576.101722784,440573.11941917
1,11545,금천구,영업,"",치킨,55.92,서울특별시 금천구 독산동 146-1 이기훈치과의원,190923.963679959,441510.743691033
2,11545,금천구,영업,"",한식,29.20,서울특별시 금천구 시흥동 114-2번지,190884.217439451,439217.962520273
3,11545,금천구,영업,"",한식,51.10,서울특별시 금천구 가산동 458-8,189277.719287972,442037.292890479
4,11545,금천구,영업,"",한식,4.89,서울특별시 금천구 시흥동 880-29번지,191198.720278657,439169.429337928
5,11545,금천구,영업,"",분식,17.05,서울특별시 금천구 독산동 293-20번지,190689.36790475,440511.276499109
6,11545,금천구,폐업,20190320,중식,34.02,서울특별시 금천구 독산동 1076-45번지 지상1층,191080.571492925,439632.093351936
7,11545,금천구,영업,"",한식,57.75,서울특별시 금천구 시흥동 985-1번지 제1층 18호,191282.305189152,438356.170313032
8,11545,금천구,영업,"",한식,110.98,서울특별시 금천구 독산동 1037-0번지 (독산역길3),191190.37530257,440465.765059286
9,11545,금천구,영업,"",한식,66.47,서울특별시 금천구 시흥동 794-11번지 지상2층,191890.982927088,440025.714540054
10,11545,금천구,영업,"",분식,19.63,서울특별시 금천구 시흥동 881-43번지 지상1층,191196.941666383,439261.70857801
11,11545,금천구,영업,"",치킨,35.90,서울특별시 금천구 시흥동 313-1번지,"",""
12,11545,금천구,영업,"",분식,20.30,서울특별시 금천구 독산동 59-2번지,192020.36821700000,441857.91478600000
13,11545,금천구,영업,"",중식,20.72,서울특별시 금천구 시흥동 841-7번지 지상1층,191590.131732018,439200.837139727
14,11545,금천구,영업,"",중식,29.40,서울특별시 금천구 독산동 1028-8 (우정9길15),191053.597698943,440562.76767943
15,11545,금천구,폐업,20190624,중식,76.26,서울특별시 금천구 독산동 163-8번지 (구로동길401),191231.362069315,441010.102595561
16,11545,금천구,영업,"",한식,13.15,서울특별시 금천구 가산동 143-15번지 지상1층,190280.110002906,441655.683609785
17,11545,금천구,폐업,20171229,치킨,32.68,서울특별시 금천구 시흥동 995-13번지,191097.569128195,439055.82393955
18,11545,금천구,영업,"",한식,22.86,서울특별시 금천구 독산동 988-8번지 (남문시장4길18),191125.756585188,441182.799013026
19,11545,금천구,영업,"",한식,15.68,서울특별시 금천구 가산동 143-15 지상1층,190280.110002906,441655.683609785
20,11545,금천구,영업,"",식육(고깃집),12.50,서울특별시 금천구 가산동 83-8번지 지상1층,189736.88808904,442262.746663668
21,11545,금천구,영업,"",한식,29.24,서울특별시 금천구 독산동 299-4번지 지상1층,190629.034415136,441093.762126015
22,11545,금천구,영업,"",한식,22.72,서울특별시 금천구 독산동 160-2번지 지상1층,191049.941583937,441158.874159816
23,11545,금천구,영업,"",분식,33.12,서울특별시 금천구 시흥동 263-15 지상1층 (향교길 3),192172.082004923,438691.879523404
24,11545,금천구,폐업,20170609,한식,19.40,서울특별시 금천구 독산동 297-12번지,190648.707224663,441147.695399507
25,11545,금천구,영업,"",양식,105.41,서울특별시 금천구 독산동 1009-34번지,190821.387884335,440268.177624728
26,11545,금천구,영업,"",중식,93.88,서울특별시 금천구 시흥동 21-19 지상2층,191532.121902789,440076.493318151
27,11545,금천구,폐업,20190508,한식,16.92,서울특별시 금천구 시흥동 287-4번지,191634.882886873,438950.052376189
28,11545,금천구,영업,"",뷔페,28.26,서울특별시 금천구 독산동 333-9번지,190376.249720063,440708.043798454
29,11545,금천구,영업,"",한식,32.67,서울특별시 금천구 독산동 1032-1번지 지상1층,190983.001293918,440467.655442877
30,11545,금천구,폐업,20170131,한식,39.14,서울특별시 금천구 시흥동 896-30번지 지상1층 (샘5길 21),191577.890743389,438767.914302328
31,11545,금천구,영업,"",주점,68.80,서울특별시 금천구 독산동 1055번지 (시흥대로351),190892.861407866,440134.616863477
32,11545,금천구,영업,"",주점,13.76,서울특별시 금천구 독산동 144-45번지,190808.712882335,441514.78517978
33,11545,금천구,영업,"",주점,19.00,서울특별시 금천구 독산동 987-2번지,191030.872364692,441237.485220856
34,11545,금천구,폐업,20170628,분식,28.40,서울특별시 금천구 시흥동 990-57번지 지상1층,191089.106135685,438644.759572459
35,11545,금천구,영업,"",분식,39.60,서울특별시 금천구 시흥동 836-9번지,191178.177948192,439162.168008504
36,11545,금천구,영업,"",한식,35.64,서울특별시 금천구 시흥동 890-15번지 지상1층 (샘길 7),191308.01726904,438814.976751125
37,11545,금천구,영업,"",기타,11.50,서울특별시 금천구 시흥동 895-7번지 지상1층,191592.825040732,438901.792144609
38,11545,금천구,영업,"",주점,31.45,서울특별시 금천구 가산동 141-18번지 지상1층,190257.18310023,441854.192186172
39,11545,금천구,영업,"",한식,65.10,서울특별시 금천구 시흥동 889-4번지 (대명시장길 18),191243.680488808,439032.94774438
40,11545,금천구,영업,"",치킨,72.00,서울특별시 금천구 시흥동 888-10 지상1층,191292.124886577,438947.100689155
41,11545,금천구,영업,"",한식,28.70,서울특별시 금천구 독산동 1032-6번지 (독산역길19),191042.39067389,440465.020309627
42,11545,금천구,영업,"",한식,110.74,서울특별시 금천구 독산동 144-10번지 지상1층,190863.926465677,441548.001116021
43,11545,금천구,폐업,20180910,한식,23.55,서울특별시 금천구 가산동 235-52번지,190265.657107365,441148.119116622
44,11545,금천구,폐업,20180612,치킨,25.83,서울특별시 금천구 시흥동 794-11번지 지상1층,191890.982927088,440025.714540054
45,11545,금천구,영업,"",한식,18.50,서울특별시 금천구 시흥동 263-13번지 지상1층 (향교길 7),192178.918357135,438715.597929292
46,11545,금천구,폐업,20190429,치킨,38.10,서울특별시 금천구 시흥동 819-7번지 지상1층,191616.818490485,439246.78126606
47,11545,금천구,영업,"",횟집,34.98,서울특별시 금천구 시흥동 888-1번지 지상1층 (대명시장길 19),191266.927537373,439046.217441333
48,11545,금천구,영업,"",한식,26.32,서울특별시 금천구 독산동 1011-12번지,190824.393332122,440170.521290396
49,11545,금천구,영업,"",분식,23.46,서울특별시 금천구 독산동 162-16번지,191057.915826794,441042.892730243
50,11545,금천구,영업,"",치킨,76.84,서울특별시 금천구 시흥동 888-1번지 888-1234  지상1층,191266.927537373,439046.217441333
51,11545,금천구,폐업,20181023,중식,29.52,서울특별시 금천구 독산동 1043-12번지,191352.091274508,440197.536538661
52,11545,금천구,영업,"",한식,28.22,서울특별시 금천구 시흥동 888-1 234 지상1층 (대명시장길 19),191266.927537373,439046.217441333
53,11545,금천구,폐업,20181129,치킨,33.20,서울특별시 금천구 독산동 298-9번지 (모아래길36),190612.743513763,441142.615541691
54,11545,금천구,영업,"",한식,99.22,서울특별시 금천구 가산동 458-15 지상2층,189228.86148312,442032.800230298
55,11545,금천구,폐업,20180508,치킨,27.46,서울특별시 금천구 시흥동 909-24번지 지상1층 (금천로 131),191793.549910441,438781.498511524
56,11545,금천구,영업,"",치킨,20.35,서울특별시 금천구 시흥동 838-3번지 지상1층,191608.437172606,439033.631628294
57,11545,금천구,영업,"",치킨,25.84,서울특별시 금천구 독산동 967-12번지,190996.914193444,441563.015154086
58,11545,금천구,영업,"",분식,34.44,서울특별시 금천구 독산동 160-1번지 (남문시장3길8),191027.680127453,441160.609788293
59,11545,금천구,영업,"",치킨,33.02,서울특별시 금천구 독산동 1009-83번지,190817.215544954,440199.224156975
60,11545,금천구,영업,"",중식,113.60,서울특별시 금천구 가산동 239-1 지상2층,189965.707869848,441361.456925752
61,11545,금천구,영업,"",분식,44.65,서울특별시 금천구 독산동 165-3번지,191185.783159464,441144.990264177
62,11545,금천구,영업,"",한식,58.50,서울특별시 금천구 시흥동 103-5,191025.298937398,439247.302128087
63,11545,금천구,영업,"",한식,22.55,서울특별시 금천구 시흥동 999-41,191080.104462894,439206.21946539
64,11545,금천구,폐업,20190410,한식,73.80,서울특별시 금천구 시흥동 902-3번지 지상1층,191356.268697138,438743.037152166
65,11545,금천구,영업,"",치킨,36.96,서울특별시 금천구 독산동 160-1번지 지상1층,191027.680127453,441160.609788293
66,11545,금천구,영업,"",한식,24.48,서울특별시 금천구 독산동 959-23번지 (독산동길10),191399.035388034,441861.4629578
67,11545,금천구,폐업,20181024,한식,58.38,서울특별시 금천구 독산동 301-15번지,190484.341097743,441108.938614742
68,11545,금천구,영업,"",한식,58.63,서울특별시 금천구 가산동 151-65 지상1층,190593.925824893,441648.968719766
