id,시군구코드,행정구역(구별),상세영업상태명,폐업일자,업태구분명,소재지면적,지번주소,좌표정보(X),좌표정보(Y)
8589934592,11545,금천구,영업,"",분식,31.31,서울특별시 금천구 독산동 178-33번지,191337.894200584,441016.521594099
8589934593,11545,금천구,영업,"",한식,115.28,서울특별시 금천구 가산동 470-8번지 케이씨씨 웰츠밸리,189282.557380259,442417.955057116
8589934594,11545,금천구,영업,"",치킨,25.00,서울특별시 금천구 독산동 1048-40번지,191224.21011486,440213.41382944
8589934595,11545,금천구,영업,"",분식,67.50,서울특별시 금천구 가산동 327-32번지 대륭테크노타운12차,189686.475000033,440870.092608694
8589934596,11545,금천구,영업,"",양식,62.43,서울특별시 금천구 독산동 1156번지 금천롯데캐슬골드파크4차,"",""
8589934597,11545,금천구,영업,"",치킨,20.00,서울특별시 금천구 시흥동 901번지,191341.215586208,438801.067791654
8589934598,11545,금천구,영업,"",치킨,24.00,서울특별시 금천구 독산동 1032-4,191019.290181748,440466.93700543
8589934599,11545,금천구,영업,"",식육(고깃집),48.00,서울특별시 금천구 독산동 165-6번지,191238.243605327,441137.110489765
8589934600,11545,금천구,영업,"",한식,26.40,서울특별시 금천구 시흥동 794-1번지 지상1층,191808.981770764,440032.9685569
8589934601,11545,금천구,폐업,20191010,분식,31.20,서울특별시 금천구 독산동 333-19번지,190396.563333812,440715.195676451
8589934602,11545,금천구,영업,"",중식,70.56,서울특별시 금천구 가산동 691번지 대륭테크노타운 20차,189920.528610917,440521.85524888
8589934603,11545,금천구,영업,"",기타,171.90,서울특별시 금천구 가산동 371-57번지 가산 더스카이밸리 1차,189603.222916543,441801.135064157
8589934604,11545,금천구,영업,"",식육(고깃집),30.00,서울특별시 금천구 가산동 41-4,189695.64269079,442277.076655752
8589934605,11545,금천구,폐업,20190827,분식,29.10,서울특별시 금천구 독산동 1147번지 금천롯데캐슬골드파크1차아파트,190592.734583097,439737.220956785
8589934606,11545,금천구,영업,"",기타,13.20,서울특별시 금천구 가산동 481-4번지 벽산디지털밸리6차,189232.30642848,442478.356256941
