id,시군구코드,행정구역(구별),상세영업상태명,폐업일자,업태구분명,소재지면적,지번주소,좌표정보(X),좌표정보(Y)
0,11530,구로구,영업,"",한식,52.85,서울특별시 구로구 구로동 736-20,189753.201752511,442924.926928429
1,11530,구로구,영업,"",한식,109.13,서울특별시 구로구 구로동 738-59번지 738-596061호 3필지,189783.62286706,442809.247110659
2,11530,구로구,영업,"",분식,38.35,서울특별시 구로구 가리봉동 127-4,190184.663766127,442033.904122927
3,11530,구로구,영업,"",한식,37.68,서울특별시 구로구 구로동 910,"",""
4,11530,구로구,영업,"",한식,13.20,서울특별시 구로구 오류동 37-13,186142.623920766,443825.658322764
5,11530,구로구,영업,"",중식,12.50,서울특별시 구로구 개봉동 149-21,187038.13518521,444099.140913708
6,11530,구로구,영업,"",한식,35.50,서울특별시 구로구 오류동 13-55,185975.569904645,443814.809202298
7,11530,구로구,영업,"",한식,62.80,서울특별시 구로구 오류동 35-2번지,186187.201942973,443838.929027599
8,11530,구로구,영업,"",치킨,14.76,서울특별시 구로구 개봉동 289-2,187266.206263787,442879.284645556
9,11530,구로구,영업,"",분식,80.00,서울특별시 구로구 개봉동 202-18,187430.535013744,443546.109412548
10,11530,구로구,영업,"",한식,24.60,서울특별시 구로구 신도림동 280-23번지,189334.782367764,445435.275252491
11,11530,구로구,영업,"",치킨,78.03,서울특별시 구로구 가리봉동 123-35,190046.58603147,442176.742587358
12,11530,구로구,폐업,20190716,중식,33.62,서울특별시 구로구 개봉동 139-107번지,186872.097432136,444046.515694421
13,11530,구로구,영업,"",한식,19.06,서울특별시 구로구 구로동 604-1 구로공구상가 C-28,189277.761702183,444671.551731639
14,11530,구로구,영업,"",한식,37.01,서울특별시 구로구 구로동 604-1 구로공구상가 C-48,189277.761702183,444671.551731639
15,11530,구로구,영업,"",한식,17.85,서울특별시 구로구 구로동 604-1번지 구로공구상가 B-16,189277.761702183,444671.551731639
16,11530,구로구,영업,"",한식,34.81,서울특별시 구로구 구로동 604-1 .공구상가 지하 C-37,189277.761702183,444671.551731639
17,11530,구로구,영업,"",중식,25.41,서울특별시 구로구 구로동 604-1 구로공구상가 A-06,189277.761702183,444671.551731639
18,11530,구로구,영업,"",치킨,64.02,서울특별시 구로구 개봉동 202-12,187463.615442645,443553.963637942
19,11530,구로구,영업,"",중식,25.24,서울특별시 구로구 구로동 604-1 구로공구상가 D-53,189277.761702183,444671.551731639
20,11530,구로구,영업,"",한식,59.00,서울특별시 구로구 가리봉동 127-22,190147.438181895,441996.527175332
21,11530,구로구,영업,"",한식,75.95,서울특별시 구로구 구로동 705-26번지,189527.815323772,443176.778672291
22,11530,구로구,영업,"",한식,20.09,서울특별시 구로구 구로동 604-1 구로공구상가 B-14,189277.761702183,444671.551731639
23,11530,구로구,영업,"",한식,68.87,서울특별시 구로구 구로동 420-4번지,189579.358512887,443636.776028756
24,11530,구로구,영업,"",한식,29.10,서울특별시 구로구 구로동 604-1 구로공구상가 D-1112,189277.761702183,444671.551731639
25,11530,구로구,영업,"",한식,71.97,서울특별시 구로구 구로동 600-6번지,189123.614092642,444418.830999506
26,11530,구로구,영업,"",한식,166.50,서울특별시 구로구 구로동 607-6,189097.330062858,444434.641858657
27,11530,구로구,영업,"",분식,37.58,서울특별시 구로구 개봉동 328-1번지,187145.971364397,443270.738997735
28,11530,구로구,영업,"",한식,76.80,서울특별시 구로구 오류동 54-7번지,186124.539889379,443717.653470703
29,11530,구로구,폐업,20170203,한식,27.10,서울특별시 구로구 가리봉동 124-4번지 567,189996.359309208,442201.183328093
30,11530,구로구,영업,"",주점,18.60,서울특별시 구로구 구로동 730-86번지,189723.465336734,443171.443308097
31,11530,구로구,영업,"",한식,39.13,서울특별시 구로구 구로동 85-2번지,190065.031480415,443582.232571704
32,11530,구로구,영업,"",일식,158.00,서울특별시 구로구 구로동 83-11,189999.283869617,443559.586901793
33,11530,구로구,영업,"",한식,49.52,서울특별시 구로구 신도림동 437-1 태영프라자 117호,189618.752905327,444921.078748984
34,11530,구로구,영업,"",치킨,94.88,서울특별시 구로구 구로동 1127-32번지 2층,191047.378156424,442322.788803177
