id,시군구코드,행정구역(구별),상세영업상태명,폐업일자,업태구분명,소재지면적,지번주소,좌표정보(X),좌표정보(Y)
8589934592,11530,구로구,폐업,20170501,일식,136.61,서울특별시 구로구 구로동 811번지 코오롱싸이언스밸리2차  217호,191020.264430044,442460.919021593
8589934593,11530,구로구,영업,"",중식,83.00,서울특별시 구로구 구로동 197-13 이엔씨드림타워5차 103호 일부,190415.331312828,442596.203831363
8589934594,11530,구로구,영업,"",한식,66.00,서울특별시 구로구 개봉동 492 개봉푸르지오1차 105동 102호,186501.22219755,444255.437772383
8589934595,11530,구로구,영업,"",중식,85.93,서울특별시 구로구 구로동 26번지 신도림포스빌 지하 108호 113호,190349.885855531,444836.673561831
8589934596,11530,구로구,영업,"",치킨,71.33,서울특별시 구로구 개봉동 492 개봉푸르지오 106동 102호,186501.22219755,444255.437772383
8589934597,11530,구로구,영업,"",한식,92.22,서울특별시 구로구 구로동 339-87 2층,189809.527153065,443193.419255151
8589934598,11530,구로구,영업,"",치킨,30.00,서울특별시 구로구 궁동 212-14,184993.736668211,443596.38931105
8589934599,11530,구로구,영업,"",카페,27.35,"",185721.91202600000,442967.06766400000
8589934600,11530,구로구,영업,"",중식,36.30,서울특별시 구로구 구로동 781-25번지 풍성 가동 103호,190147.334156653,442726.394271198
8589934601,11530,구로구,영업,"",한식,65.00,서울특별시 구로구 구로동 495-9,189580.1950808,444161.297267428
8589934602,11530,구로구,영업,"",카페,26.40,서울특별시 구로구 신도림동 437-1번지 태영프라자 101호,189618.752905327,444921.078748984
8589934603,11530,구로구,폐업,20170303,치킨,31.05,서울특별시 구로구 구로동 1265번지 구로두산아파트 후문상가(302동) 104호,190136.483727803,443021.744198807
8589934604,11530,구로구,영업,"",패스트푸드,28.56,서울특별시 구로구 구로동 603-9 스타팰리스,189416.041362587,444576.537817778
8589934605,11530,구로구,영업,"",뷔페,229.16,서울특별시 구로구 구로동 611-26,189047.773084017,444715.218537294
8589934606,11530,구로구,영업,"",치킨,70.00,서울특별시 구로구 구로동 26 신도림포스빌 147148149150,190349.885855531,444836.673561831
8589934607,11530,구로구,영업,"",중식,33.00,서울특별시 구로구 구로동 720-15,189680.96373982,442903.879312761
8589934608,11530,구로구,영업,"",중식,118.47,서울특별시 구로구 구로동 1124-23번지,191095.900815766,442345.084288526
8589934609,11530,구로구,폐업,20190207,분식,18.63,서울특별시 구로구 개봉동 407-13번지,187330.996114457,443478.210324037
8589934610,11530,구로구,영업,"",카페,22.09,서울특별시 구로구 구로동 44-5번지 비즈트위트레인보우 103호,190354.665237381,444443.16134521
8589934611,11530,구로구,영업,"",한식,321.22,서울특별시 구로구 구로동 87-1 A동 101호,190186.602059811,443492.239553019
8589934612,11530,구로구,영업,"",치킨,141.97,서울특별시 구로구 구로동 414-10 조일뉴타워 201호,189580.814678046,443487.143997934
8589934613,11530,구로구,영업,"",치킨,25.50,서울특별시 구로구 구로동 742-19번지,190008.115694546,443076.161829657
8589934614,11530,구로구,폐업,20170501,치킨,46.20,서울특별시 구로구 오류동 155-8번지,185979.192713286,443245.179975888
8589934615,11530,구로구,영업,"",한식,63.19,서울특별시 구로구 궁동 115-4,184978.666666667,444419.866666667
8589934616,11530,구로구,폐업,20170201,한식,152.46,서울특별시 구로구 고척동 72-5번지,187749.253601939,443867.301495703
8589934617,11530,구로구,폐업,20190926,중식,33.00,서울특별시 구로구 구로동 461-4번지,189531.943011779,443704.840015419
8589934618,11530,구로구,폐업,20180801,한식,39.00,서울특별시 구로구 오류동 38-5번지,186076.404927401,443771.479632425
8589934619,11530,구로구,폐업,20180604,한식,66.00,서울특별시 구로구 오류동 55-14번지 1층 101호,186149.000717898,443754.961884834
8589934620,11530,구로구,영업,"",치킨,52.87,서울특별시 구로구 천왕동 0-0번지 랑데르 지하1층 103호,185694.40601800000,443029.45482500000
8589934621,11530,구로구,영업,"",한식,99.17,서울특별시 구로구 구로동 212-8번지 대륭포스트타워1차 109호 일부,190680.536850936,442392.645303533
8589934622,11530,구로구,영업,"",한식,175.20,서울특별시 구로구 오류동 306-4 랑데르오피스텔 101102호,185694.40601800000,443029.45482500000
8589934623,11530,구로구,폐업,20170518,한식,85.00,서울특별시 구로구 온수동 12-2번지,184275.677888676,443429.670408492
8589934624,11530,구로구,영업,"",한식,39.30,서울특별시 구로구 구로동 614-33번지 라이프종합공구상가 B111호,188907.966108621,444898.367647601
8589934625,11530,구로구,영업,"",치킨,39.00,서울특별시 구로구 개봉동 492번지 개봉동푸르지오 106동 103호,186501.22219755,444255.437772383
8589934626,11530,구로구,영업,"",뷔페,815.00,서울특별시 구로구 구로동 188-25 롯데호텔 3층,190779.824680954,442527.527966789
8589934627,11530,구로구,영업,"",치킨,108.36,서울특별시 구로구 신도림동 337번지 신도림1차푸르지오 126136호,190005.132500398,445250.538868558
8589934628,11530,구로구,영업,"",한식,195.00,서울특별시 구로구 고척동 159-6번지 지상1층2층일부,187209.672075036,444763.010133065
8589934629,11530,구로구,영업,"",분식,66.00,서울특별시 구로구 고척동 52-340 풍원빌딩 101호,187877.023384251,444325.806744079
8589934630,11530,구로구,영업,"",치킨,61.50,서울특별시 구로구 구로동 454-16,189615.062498851,443826.411203816
8589934631,11530,구로구,폐업,20181015,횟집,27.00,서울특별시 구로구 궁동 202-4번지,185244.889803627,443488.101815567
8589934632,11530,구로구,영업,"",한식,30.60,서울특별시 구로구 오류동 123번지 1층 일부,185346.474167215,443218.645815417
8589934633,11530,구로구,영업,"",일식,36.00,서울특별시 구로구 오류동 146-4번지,186250.565244342,443453.673757445
8589934634,11530,구로구,폐업,20170330,패스트푸드,44.01,서울특별시 구로구 구로동 792-26번지 101호,190114.802345743,442700.821955702
8589934635,11530,구로구,영업,"",양식,99.75,서울특별시 구로구 신도림동 692번지 디큐브시티 지하2층,190107.045415333,445157.626366229
8589934636,11530,구로구,영업,"",한식,66.00,서울특별시 구로구 고척동 271-1번지,186831.810793453,444446.554619954
8589934637,11530,구로구,폐업,20170206,치킨,39.26,서울특별시 구로구 오류동 30-1번지,186127.682950883,443908.444790287
8589934638,11530,구로구,영업,"",한식,26.40,서울특별시 구로구 구로동 543-19번지,189938.092148604,444176.939295636
8589934639,11530,구로구,영업,"",주점,36.04,서울특별시 구로구 개봉동 349-9번지 태산무지게빌라 1층 101호,187155.64742675,442809.560465698
8589934640,11530,구로구,영업,"",한식,44.63,서울특별시 구로구 개봉동 348-5번지 우림메르디앙 101호,187177.668588602,442804.485924199
8589934641,11530,구로구,폐업,20171108,분식,26.45,서울특별시 구로구 고척동 330번지 삼익1단지아파트 상가 101호,186933.271261921,445172.495909775
8589934642,11530,구로구,영업,"",치킨,374.03,서울특별시 구로구 구로동 1125-3 덕성빌딩 3층,191205.791543965,442398.056827727
8589934643,11530,구로구,영업,"",한식,77.30,서울특별시 구로구 구로동 529-2번지 12층,190001.814743537,444139.585527761
8589934644,11530,구로구,폐업,20180822,한식,29.70,서울특별시 구로구 궁동 207-25번지 1층일부,185185.585002684,443555.106053449
8589934645,11530,구로구,폐업,20171018,치킨,27.72,서울특별시 구로구 궁동 187-11번지 제우빌딩 1층 102호,185081.15048869,443682.290691057
8589934646,11530,구로구,영업,"",한식,948.88,서울특별시 구로구 구로동 603-9,189416.041362587,444576.537817778
8589934647,11530,구로구,영업,"",카페,49.50,서울특별시 구로구 구로동 730-59번지 2층,189699.983958367,443163.816858996
8589934648,11530,구로구,폐업,20170208,중식,35.00,서울특별시 구로구 오류동 159-3번지,185831.535832122,443229.016885491
8589934649,11530,구로구,폐업,20180912,한식,70.28,서울특별시 구로구 오류동 156-184번지,185859.055507533,443166.259402562
8589934650,11530,구로구,영업,"",한식,298.84,서울특별시 구로구 구로동 1272 미래타워 1층 101호,191079.47245981,442284.288422599
8589934651,11530,구로구,폐업,20171030,중식,130.00,서울특별시 구로구 구로동 182-13번지,190845.231594802,442639.420821243
8589934652,11530,구로구,영업,"",카페,199.80,서울특별시 구로구 구로동 188-25 G밸리비즈플라자 101호,190779.824680954,442527.527966789
8589934653,11530,구로구,영업,"",치킨,69.14,서울특별시 구로구 구로동 116-13 지하1층일부,190410.125787163,443527.864659423
8589934654,11530,구로구,영업,"",치킨,15.12,서울특별시 구로구 구로동 139-74,190298.51593516,443335.415281768
8589934655,11530,구로구,영업,"",치킨,56.36,서울특별시 구로구 오류동 6-344,186036.19862737,443807.225468433
8589934656,11530,구로구,폐업,20170411,치킨,50.97,서울특별시 구로구 구로동 503-3번지 1층,189663.450283805,444081.122294766
8589934657,11530,구로구,영업,"",치킨,35.28,서울특별시 구로구 오류동 46-1,185960.164604807,443636.812899057
8589934658,11530,구로구,영업,"",패스트푸드,76.52,서울특별시 구로구 개봉동 344-13번지 1층,187057.892617521,442886.8437457
8589934659,11530,구로구,영업,"",양식,212.57,서울특별시 구로구 구로동 188-25번지 지밸리비즈플라자 2층 203호,190779.824680954,442527.527966789
8589934660,11530,구로구,영업,"",일식,128.98,서울특별시 구로구 구로동 188-25 지밸리비즈플라자 209호,190779.824680954,442527.527966789
8589934661,11530,구로구,영업,"",양식,232.83,서울특별시 구로구 구로동 188-25번지 지밸리비즈플라자 2층 204호,190779.824680954,442527.527966789
8589934662,11530,구로구,영업,"",한식,181.33,서울특별시 구로구 구로동 188-25번지 지밸리비즈플라자 2층 208호,190779.824680954,442527.527966789
