id,시군구코드,행정구역(구별),상세영업상태명,폐업일자,업태구분명,소재지면적,지번주소,좌표정보(X),좌표정보(Y)
0,11620,관악구,영업,"",분식,6.13,서울특별시 관악구 봉천동 36-28번지,196103.314267878,442551.785866495
1,11620,관악구,영업,"",중식,31.26,서울특별시 관악구 신림동 1410-15번지,194072.298200587,442536.885283449
2,11620,관악구,영업,"",한식,28.03,서울특별시 관악구 봉천동 923-2번지,195048.376713777,442241.290545297
3,11620,관악구,영업,"",한식,13.78,서울특별시 관악구 신림동 1424-3번지 지상1층,193720.338074734,442693.091204063
4,11620,관악구,영업,"",양식,18.91,서울특별시 관악구 신림동 1424-3번지,193720.338074734,442693.091204063
5,11620,관악구,영업,"",한식,23.40,서울특별시 관악구 신림동 1637-3번지,193706.645964117,442203.510584883
6,11620,관악구,폐업,20170504,한식,16.96,서울특별시 관악구 봉천동 971-4번지,193571.705094252,443057.195231809
7,11620,관악구,영업,"",한식,56.29,서울특별시 관악구 봉천동 858-2번지 지상2층,195825.914871751,442164.499257236
8,11620,관악구,영업,"",한식,18.74,서울특별시 관악구 신림동 1425-8번지 지상1층,193717.876773648,442733.564216119
9,11620,관악구,영업,"",중식,100.00,서울특별시 관악구 봉천동 1644-5번지 지상1층,197013.912489955,441368.955118456
10,11620,관악구,영업,"",중식,52.81,서울특별시 관악구 신림동 564-2번지 지상1층,191927.999105005,442130.972004338
11,11620,관악구,영업,"",한식,40.07,서울특별시 관악구 봉천동 971-11번지 지상1층,193593.626112789,443058.965659823
12,11620,관악구,폐업,20190315,한식,31.49,서울특별시 관악구 봉천동 941-39번지 지상1층,194666.696822728,442623.675448289
13,11620,관악구,영업,"",한식,264.21,서울특별시 관악구 신림동 1427-4번지 지상1층,193749.521004418,442877.801594791
14,11620,관악구,영업,"",기타,54.28,서울특별시 관악구 봉천동 895-26번지,195263.750402074,442094.697584783
15,11620,관악구,영업,"",분식,14.10,서울특별시 관악구 신림동 241-22번지,194544.691396571,440901.965658555
16,11620,관악구,영업,"",중식,38.13,서울특별시 관악구 신림동 485-24번지,192907.998435918,442460.358193313
17,11620,관악구,폐업,20190611,한식,138.90,서울특별시 관악구 신림동 1486-1번지 지상1층,192066.288288345,442028.907550302
18,11620,관악구,영업,"",한식,33.12,서울특별시 관악구 봉천동 956-5번지,194378.204561115,442664.269431141
19,11620,관악구,영업,"",한식,27.50,서울특별시 관악구 신림동 107-115번지 지상1층,194262.82868472,441316.463386313
20,11620,관악구,영업,"",한식,20.72,서울특별시 관악구 신림동 1475-30번지,192341.451542303,442092.482513439
21,11620,관악구,영업,"",양식,60.50,서울특별시 관악구 봉천동 1598-1번지 지상1층,195741.164752348,441862.053352551
22,11620,관악구,영업,"",한식,21.98,서울특별시 관악구 봉천동 851-14번지 지상1층,195869.868959984,442213.482620794
23,11620,관악구,폐업,20170309,한식,253.13,서울특별시 관악구 신림동 산 56-1번지,196139.864969792,439023.167125842
24,11620,관악구,영업,"",한식,49.50,서울특별시 관악구 봉천동 894-2,195282.576460578,442121.142822272
25,11620,관악구,영업,"",한식,45.27,서울특별시 관악구 남현동 1061-8번지 지상1층,198256.271574399,441479.500973938
26,11620,관악구,폐업,20170213,치킨,260.54,서울특별시 관악구 봉천동 951-25번지,194486.270488664,442632.469540589
27,11620,관악구,영업,"",한식,110.34,서울특별시 관악구 봉천동 858-4,195831.845218555,442151.104877741
28,11620,관악구,영업,"",분식,29.40,서울특별시 관악구 신림동 618-15번지,192835.93253131,441168.855009885
29,11620,관악구,영업,"",양식,90.33,서울특별시 관악구 신림동 1431-16번지 지상2층,193657.227469215,442684.677286814
30,11620,관악구,영업,"",한식,46.73,서울특별시 관악구 신림동 529-7번지,192393.663310822,442281.964358668
31,11620,관악구,영업,"",중식,33.56,서울특별시 관악구 신림동 96-25번지 지상1층,194429.052709109,441420.256598145
32,11620,관악구,폐업,20190820,한식,33.20,서울특별시 관악구 신림동 1639-2번지,193505.420026821,442390.586441286
33,11620,관악구,영업,"",한식,71.50,서울특별시 관악구 봉천동 1601-3번지,195881.000751214,441998.273060268
