id,시군구코드,행정구역(구별),상세영업상태명,폐업일자,업태구분명,소재지면적,지번주소,좌표정보(X),좌표정보(Y)
8589934592,11620,관악구,폐업,20170123,양식,16.50,서울특별시 관악구 봉천동 1674-16번지,196287.248419957,441916.498807613
8589934593,11620,관악구,영업,"",한식,13.00,서울특별시 관악구 신림동 637-1번지,192893.347466833,440903.81963928
8589934594,11620,관악구,폐업,20180223,카페,27.00,서울특별시 관악구 봉천동 950-11번지,194438.441705882,442589.422587717
8589934595,11620,관악구,영업,"",한식,61.82,서울특별시 관악구 봉천동 702-97번지,193421.93674832,443232.514894785
8589934596,11620,관악구,영업,"",패스트푸드,31.74,서울특별시 관악구 봉천동 955-31번지,194344.52566871,442698.174172267
8589934597,11620,관악구,영업,"",중식,16.50,서울특별시 관악구 신림동 655-61번지,192924.830499774,440571.589855395
8589934598,11620,관악구,폐업,20170830,치킨,66.00,서울특별시 관악구 신림동 118-3번지,194408.214483606,440998.894144879
8589934599,11620,관악구,영업,"",한식,37.00,서울특별시 관악구 신림동 246-1,194468.058094711,440777.999708551
8589934600,11620,관악구,영업,"",한식,24.00,서울특별시 관악구 봉천동 1674-7번지,196243.988606214,441956.968943734
8589934601,11620,관악구,영업,"",한식,42.05,서울특별시 관악구 봉천동 926-21번지,194896.060048176,442302.410165201
8589934602,11620,관악구,영업,"",한식,1689.48,서울특별시 관악구 신림동 1638-1번지,193643.274303943,442230.03574985
8589934603,11620,관악구,영업,"",분식,30.27,서울특별시 관악구 신림동 517-1번지,192300.189347067,442757.825412591
8589934604,11620,관악구,영업,"",한식,50.22,서울특별시 관악구 봉천동 1598-27번지,195754.314214565,441831.808858009
8589934605,11620,관악구,폐업,20191203,패스트푸드,45.00,서울특별시 관악구 봉천동 915-1번지,195151.653339069,442061.221331728
8589934606,11620,관악구,영업,"",한식,39.60,서울특별시 관악구 신림동 606-5번지,192696.605942545,441414.192576891
8589934607,11620,관악구,영업,"",분식,23.10,서울특별시 관악구 신림동 409-4번지,193979.867404533,441733.067556229
8589934608,11620,관악구,폐업,20191107,한식,91.84,서울특별시 관악구 봉천동 972-37번지,193421.435747011,443129.65672318
8589934609,11620,관악구,영업,"",한식,66.78,서울특별시 관악구 남현동 1058-17번지,197997.329269889,441561.599676361
8589934610,11620,관악구,영업,"",한식,82.50,서울특별시 관악구 봉천동 1604-1,195840.823514062,441869.843556368
8589934611,11620,관악구,영업,"",중식,41.76,서울특별시 관악구 봉천동 706-4번지,193569.592970216,443222.125800199
8589934612,11620,관악구,영업,"",치킨,30.00,서울특별시 관악구 신림동 1429-2번지,193522.138535762,442996.344931519
8589934613,11620,관악구,영업,"",치킨,82.98,서울특별시 관악구 봉천동 924-24번지,194959.24826995,442358.4098295
8589934614,11620,관악구,영업,"",한식,27.00,서울특별시 관악구 봉천동 945-37번지,194561.966771601,442287.961496584
8589934615,11620,관악구,폐업,20190909,한식,23.10,서울특별시 관악구 신림동 257-22번지,194285.786122702,440652.492542066
8589934616,11620,관악구,영업,"",한식,5.21,서울특별시 관악구 봉천동 875-1번지,195537.269534163,442122.202180318
8589934617,11620,관악구,영업,"",치킨,21.00,서울특별시 관악구 봉천동 958-10번지,194381.742441077,442529.326571022
8589934618,11620,관악구,영업,"",한식,261.82,서울특별시 관악구 봉천동 1660-3번지,196537.956746583,441703.825152129
8589934619,11620,관악구,폐업,20180727,한식,42.90,서울특별시 관악구 봉천동 930-41번지,194707.454395839,442247.629957905
8589934620,11620,관악구,영업,"",패스트푸드,21.35,서울특별시 관악구 신림동 755-5번지,192542.601565055,441398.509966223
8589934621,11620,관악구,폐업,20190710,양식,78.88,서울특별시 관악구 신림동 241-58번지,194535.808182704,440877.638107132
8589934622,11620,관악구,영업,"",한식,133.65,서울특별시 관악구 신림동 561-4번지,191855.407522532,442370.449217388
8589934623,11620,관악구,영업,"",한식,58.38,서울특별시 관악구 봉천동 1629-14번지,196462.354179578,441652.439971324
8589934624,11620,관악구,폐업,20181015,한식,21.45,서울특별시 관악구 신림동 1432-118번지,193561.702075309,442628.694788358
