id,시군구코드,행정구역(구별),상세영업상태명,폐업일자,업태구분명,소재지면적,지번주소,좌표정보(X),좌표정보(Y)
8589934592,11650,서초구,폐업,20190827,카페,46.20,서울특별시 서초구 방배동 963-15번지,199132.169499876,442425.370583118
8589934593,11650,서초구,폐업,20170630,한식,108.48,서울특별시 서초구 서초동 1357-70번지,202721.790229726,442832.591039646
8589934594,11650,서초구,영업,"",한식,2544.64,서울특별시 서초구 반포동 1141 45층,198791.788015494,444392.672548989
8589934595,11650,서초구,영업,"",양식,247.87,서울특별시 서초구 잠원동 17-6번지,201341.544873337,445770.033057559
8589934596,11650,서초구,영업,"",카페,79.20,서울특별시 서초구 양재동 246-5번지 1층,203583.588331524,441152.794990224
8589934597,11650,서초구,폐업,20190522,한식,152.61,서울특별시 서초구 반포동 58-7번지 2층(201~203),200802.012147961,444616.351633551
8589934598,11650,서초구,폐업,20180119,카페,149.42,서울특별시 서초구 서초동 1327-13번지 14호 강남지웰타워 302호,202417.165841398,443620.723028184
8589934599,11650,서초구,영업,"",한식,53.82,서울특별시 서초구 잠원동 15-4번지 신사샤르망에스 103호,201465.119689415,445946.899831444
8589934600,11650,서초구,영업,"",한식,89.00,서울특별시 서초구 서초동 1542-1번지 서초동일하이빌 B03~B05호,200667.104434599,443263.221961308
8589934601,11650,서초구,영업,"",카페,66.00,서울특별시 서초구 서초동 1429-4번지 1층,201772.936987451,442402.566923263
8589934602,11650,서초구,폐업,20170119,한식,147.73,서울특별시 서초구 반포동 76-4번지 현우빌딩 1층,199967.226317711,443884.634324823
8589934603,11650,서초구,영업,"",중식,120.00,서울특별시 서초구 반포동 708-4번지 원일빌딩,201729.416480771,445297.248426503
8589934604,11650,서초구,영업,"",패스트푸드,33.00,서울특별시 서초구 잠원동 35-33번지 (101호?),201566.4942534,445524.564227199
8589934605,11650,서초구,폐업,20190417,카페,75.94,서울특별시 서초구 방배동 906-1번지 제우피스빌딩,199616.428129628,442490.049552481
8589934606,11650,서초구,영업,"",카페,130.59,서울특별시 서초구 방배동 926-13번지 지하1층,199454.406455466,442486.844535309
8589934607,11650,서초구,영업,"",양식,133.95,서울특별시 서초구 서초동 1330번지 서초동삼성쉐르빌2  203에이비호,202395.888113518,443528.815453782
8589934608,11650,서초구,폐업,20180516,패스트푸드,14.85,서울특별시 서초구 서초동 1440-1번지 8호 1층,201848.823344626,442614.350799967
8589934609,11650,서초구,영업,"",한식,80.00,서울특별시 서초구 반포동 735-17번지 1층,201894.3122068,444963.477541589
8589934610,11650,서초구,영업,"",한식,175.58,서울특별시 서초구 양재동 351-11번지 1층,203687.878218324,440542.040253596
8589934611,11650,서초구,영업,"",치킨,217.09,서울특별시 서초구 서초동 1308-13 2층,202172.857075331,444268.629307184
8589934612,11650,서초구,폐업,20191204,한식,47.95,서울특별시 서초구 서초동 1303-35번지 강남태영데시앙루브 지하1층 B124호,202100.548018749,444515.155344243
8589934613,11650,서초구,영업,"",한식,79.90,서울특별시 서초구 원지동 374-1번지 (1층?),204864.894872043,437956.238449124
