id,시군구코드,행정구역(구별),상세영업상태명,폐업일자,업태구분명,소재지면적,지번주소,좌표정보(X),좌표정보(Y)
0,11650,서초구,영업,"",한식,366.72,서울특별시 서초구 내곡동 1-679번지,207529.626629026,440056.334020145
1,11650,서초구,영업,"",치킨,41.02,서울특별시 서초구 반포동 817번지,198709.424984305,444381.011606431
2,11650,서초구,폐업,20190319,치킨,48.50,서울특별시 서초구 반포동 753번지 반포상가 J동 21호,199201.678832313,444381.100448662
3,11650,서초구,영업,"",중식,42.61,서울특별시 서초구 방배동 863-5번지,198673.699145885,442819.092908634
4,11650,서초구,영업,"",치킨,23.80,서울특별시 서초구 방배동 837-3,199233.932517734,443224.48882907
5,11650,서초구,영업,"",중식,278.61,서울특별시 서초구 반포동 865번지 구반포상가 (아이동?) 지하1층 14호 14-1호,198469.680455059,444372.459090916
6,11650,서초구,영업,"",한식,21.46,서울특별시 서초구 방배동 815-1번지,199009.635648687,443269.935720716
7,11650,서초구,폐업,20180927,중식,736.31,서울특별시 서초구 방배동 807-1번지 22,199220.5882934,443443.962035257
8,11650,서초구,영업,"",한식,26.04,서울특별시 서초구 반포동 817번지,198709.424984305,444381.011606431
9,11650,서초구,영업,"",한식,153.18,서울특별시 서초구 잠원동 22-20번지 2층,201591.418929224,445844.639767736
10,11650,서초구,폐업,20180711,한식,48.44,서울특별시 서초구 서초동 1339-4번지,202619.466325492,443038.616227532
11,11650,서초구,영업,"",한식,294.90,서울특별시 서초구 서초동 0번지,"",""
12,11650,서초구,영업,"",중식,92.40,서울특별시 서초구 방배동 852-16번지 1층,199268.842420377,442961.791792786
13,11650,서초구,영업,"",한식,27.50,서울특별시 서초구 방배동 839번지 삼호상가 115호,"",""
14,11650,서초구,영업,"",한식,317.85,서울특별시 서초구 방배동 837-14번지 지하1층,199254.689249764,443137.798099594
15,11650,서초구,영업,"",한식,45.77,서울특별시 서초구 반포동 753번지 H동,199201.678832313,444381.100448662
