id,시군구코드,행정구역(구별),상세영업상태명,폐업일자,업태구분명,소재지면적,지번주소,좌표정보(X),좌표정보(Y)
8589934592,11710,송파구,영업,"",치킨,54.78,서울특별시 송파구 방이동 210-1번지,211682.589442702,443005.238877611
8589934593,11710,송파구,영업,"",카페,52.79,서울특별시 송파구 방이동 64번지 지하 101호,209475.938492751,445783.438755874
8589934594,11710,송파구,영업,"",치킨,59.60,서울특별시 송파구 장지동 841-2번지 리더스프라자 104호,211186.443985092,441726.692570639
8589934595,11710,송파구,영업,"",치킨,83.10,서울특별시 송파구 송파동 104-1 위례캐슬빌 101호,209971.561769881,444625.863105631
8589934596,11710,송파구,폐업,20181213,기타,77.87,서울특별시 송파구 석촌동 216-18번지 103호,208651.401363189,444245.282156289
8589934597,11710,송파구,폐업,20170222,기타,10.30,서울특별시 송파구 풍납동 88-77번지 1층,210320.868001792,448429.421913785
8589934598,11710,송파구,폐업,20181112,치킨,33.00,서울특별시 송파구 삼전동 163-17번지 1층,208325.158510821,444368.573620341
8589934599,11710,송파구,영업,"",한식,689.76,서울특별시 송파구 문정동 516번지 가든파이브라이프 9층,211053.11951800000,442026.98878300000
8589934600,11710,송파구,영업,"",양식,109.35,서울특별시 송파구 방이동 71-1번지 지하1층,209631.346055099,445620.216639291
8589934601,11710,송파구,영업,"",카페,40.00,서울특별시 송파구 가락동 16-11번지 1층,211056.026040569,444216.325155375
8589934602,11710,송파구,영업,"",분식,26.00,서울특별시 송파구 잠실동 19-9번지 잠실파인애플상가 지하1층 A2A3호,207373.50021477,445545.656024061
8589934603,11710,송파구,폐업,20170929,치킨,102.00,서울특별시 송파구 잠실동 206-9번지 지하1층,207370.254033931,445297.778424058
8589934604,11710,송파구,영업,"",한식,58.91,서울특별시 송파구 거여동 579번지,213860.660598816,443123.934428764
8589934605,11710,송파구,폐업,20190327,카페,62.70,서울특별시 송파구 마천동 162-5번지 지하1층,213399.543912345,444146.143927518
8589934606,11710,송파구,영업,"",양식,363.18,서울특별시 송파구 잠실동 193-9번지 지상12층,207057.038960946,445298.416501478
8589934607,11710,송파구,영업,"",카페,141.11,서울특별시 송파구 오금동 50번지 1층,211284.028420361,444511.58204965
8589934608,11710,송파구,영업,"",한식,42.88,서울특별시 송파구 가락동 167-7번지 지상1층,211925.994827579,443893.389745283
8589934609,11710,송파구,폐업,20180117,한식,22.00,서울특별시 송파구 문정동 111-12번지 1층,211590.765,442644.505
8589934610,11710,송파구,영업,"",치킨,33.00,서울특별시 송파구 석촌동 252-3번지 지상1층,209074.157492629,444171.770337417
8589934611,11710,송파구,폐업,20181119,카페,22.50,서울특별시 송파구 잠실동 40-1번지 롯데월드 쇼핑몰 지하1층,208589.363343145,445455.90405262
8589934612,11710,송파구,영업,"",치킨,221.03,서울특별시 송파구 방이동 69-4 2층,209622.160757872,445674.174704214
8589934613,11710,송파구,영업,"",치킨,23.00,서울특별시 송파구 잠실동 213-29번지 1층,207349.594885741,445170.833751749
8589934614,11710,송파구,영업,"",한식,51.55,서울특별시 송파구 잠실동 40번지 갤러리아팰리스 지하1층 136-26호,208233.926974585,445435.257647797
8589934615,11710,송파구,영업,"",분식,42.19,서울특별시 송파구 잠실동 182-5번지 지상1층,207216.749262712,445413.8722856
8589934616,11710,송파구,영업,"",분식,33.00,서울특별시 송파구 오금동 18-11번지 지상1층,211200.875036835,445123.062890801
8589934617,11710,송파구,영업,"",일식,21.96,서울특별시 송파구 문정동 516번지 가든파이브라이프 F-9114,211053.11951800000,442026.98878300000
8589934618,11710,송파구,폐업,20171107,한식,23.47,서울특별시 송파구 풍납동 231-31번지 1층,210291.123948669,447880.20705371
8589934619,11710,송파구,영업,"",치킨,26.40,서울특별시 송파구 가락동 174-18번지 102호,211949.644617801,443826.623403104
8589934620,11710,송파구,폐업,20190531,기타,24.20,서울특별시 송파구 마천동 128-111번지 1층,213251.36040364,443744.804758953
8589934621,11710,송파구,영업,"",분식,15.61,서울특별시 송파구 마천동 128-6번지 지상1층,213274.286814905,443766.625542791
