id,시군구코드,행정구역(구별),상세영업상태명,폐업일자,업태구분명,소재지면적,지번주소,좌표정보(X),좌표정보(Y)
0,11710,송파구,영업,"",중식,86.30,서울특별시 송파구 잠실동 209-1번지 지상1층,207570.386768038,445196.556251876
1,11710,송파구,영업,"",한식,13.78,서울특별시 송파구 마천동 190-42번지 지상1층,213516.620377361,443907.672290153
2,11710,송파구,영업,"",한식,373.70,서울특별시 송파구 문정동 75-3 지상123층,211104.224279945,442015.231257754
3,11710,송파구,폐업,20170222,분식,18.00,서울특별시 송파구 잠실동 27-0번지,208317.419891103,445894.98085039
4,11710,송파구,영업,"",한식,68.73,서울특별시 송파구 마천동 308-39번지,213447.644832683,443423.629174212
5,11710,송파구,폐업,20171102,한식,29.16,서울특별시 송파구 신천동 11번지 장미C상가 지상1층 109호,209001.844836661,446426.814182263
6,11710,송파구,영업,"",일식,216.00,서울특별시 송파구 신천동 11 장미C상가 234호,209001.844836661,446426.814182263
7,11710,송파구,영업,"",한식,28.70,서울특별시 송파구 풍납동 222-117번지 지상1층,210201.349131492,448022.869080684
8,11710,송파구,영업,"",한식,32.39,서울특별시 송파구 풍납동 480-1번지 지상1층,210745.345561684,448261.270913983
9,11710,송파구,영업,"",한식,114.72,서울특별시 송파구 송파동 97-10번지,209746.447866502,444401.408483844
10,11710,송파구,영업,"",한식,88.65,서울특별시 송파구 석촌동 36-24번지,"",""
11,11710,송파구,영업,"",분식,17.02,서울특별시 송파구 잠실동 27번지 잠실역지하상가 B-11호,208317.419891103,445894.98085039
12,11710,송파구,폐업,20170222,분식,28.13,서울특별시 송파구 잠실동 27-2번지,208194.202952444,446000.543751385
13,11710,송파구,폐업,20190408,분식,10.89,서울특별시 송파구 잠실동 27번지 중앙상가 지하 1-8,208317.419891103,445894.98085039
14,11710,송파구,영업,"",한식,118.00,서울특별시 송파구 석촌동 297-2번지 지상1층,209588.877484891,444335.22372979
15,11710,송파구,폐업,20170222,분식,15.90,서울특별시 송파구 마천동 308-31번지,213468.096258992,443412.865755897
16,11710,송파구,폐업,20190102,한식,32.60,서울특별시 송파구 신천동 7-0번지 장미C상가107호,208707.089897534,446299.352775446
17,11710,송파구,영업,"",분식,9.10,서울특별시 송파구 신천동 11-0번지 장미C상가 지하8,209001.844836661,446426.814182263
18,11710,송파구,폐업,20190509,한식,43.00,서울특별시 송파구 잠실동 27-6번지 지하1-7,208187.623477261,445589.718583334
19,11710,송파구,폐업,20190603,중식,75.97,서울특별시 송파구 삼전동 178-13번지,208395.000059806,444362.032119949
20,11710,송파구,영업,"",한식,29.64,서울특별시 송파구 잠실동 208-0번지,207467.200765134,445383.666052002
21,11710,송파구,영업,"",한식,46.01,서울특별시 송파구 삼전동 131-2번지,208503.191877656,444807.627941716
22,11710,송파구,영업,"",한식,36.00,서울특별시 송파구 마천동 200-19번지 지상1층,213531.233592698,443868.429013753
23,11710,송파구,영업,"",한식,28.22,서울특별시 송파구 잠실동 242-22번지,207876.490427321,445012.25183403
24,11710,송파구,영업,"",한식,20.09,서울특별시 송파구 잠실동 207-15,207474.223087672,445228.149004406
25,11710,송파구,영업,"",한식,25.50,서울특별시 송파구 잠실동 207-15,207474.223087672,445228.149004406
26,11710,송파구,영업,"",일식,65.51,서울특별시 송파구 잠실동 207-17 지상1층,207464.160136167,445279.217743277
27,11710,송파구,폐업,20180810,분식,33.00,서울특별시 송파구 신천동 7-0번지,208707.089897534,446299.352775446
28,11710,송파구,폐업,20170222,주점,28.75,서울특별시 송파구 마천동 116-22번지,212933.02374935,443984.375694616
29,11710,송파구,영업,"",중식,39.76,서울특별시 송파구 풍납동 475-10번지,210699.144879018,448336.678162028
30,11710,송파구,영업,"",한식,164.80,서울특별시 송파구 방이동 36-3 지상1층,209581.539386194,445894.909949726
31,11710,송파구,영업,"",한식,51.87,서울특별시 송파구 석촌동 161-12번지 지상1층,209064.651552016,444985.985421439
32,11710,송파구,폐업,20170222,한식,20.63,서울특별시 송파구 가락동 112-0번지 가락시영아파트 나상가 112호,210797.813314683,443585.23941055
33,11710,송파구,폐업,20170222,한식,50.40,서울특별시 송파구 가락동 600-0번지 (농수산물도매시장 서비스동 1층),209790.959909032,443481.212174317
34,11710,송파구,폐업,20180430,한식,39.10,서울특별시 송파구 석촌동 22-3번지,208675.499407557,444795.122243824
35,11710,송파구,영업,"",분식,84.50,서울특별시 송파구 방이동 59-1번지,209625.042613468,445847.536152522
36,11710,송파구,영업,"",분식,63.76,서울특별시 송파구 송파동 195번지 지하1층,209852.058793191,444269.078236866
37,11710,송파구,영업,"",분식,32.76,서울특별시 송파구 삼전동 3-3,207894.273869292,444905.134730271
38,11710,송파구,영업,"",치킨,54.28,서울특별시 송파구 방이동 71-13번지,209603.148534104,445563.085607171
39,11710,송파구,영업,"",분식,19.48,서울특별시 송파구 석촌동 256-5번지,209138.599007085,444230.950006857
40,11710,송파구,영업,"",한식,74.69,서울특별시 송파구 가락동 19-7번지,210902.414870475,444376.397235876
41,11710,송파구,영업,"",일식,240.59,서울특별시 송파구 가락동 600번지,209790.959909032,443481.212174317
42,11710,송파구,영업,"",한식,99.12,서울특별시 송파구 방이동 64-3번지 지상1층,209479.951458471,445764.899477891
43,11710,송파구,영업,"",양식,99.67,서울특별시 송파구 방이동 58-6,209716.190926673,445886.259387207
44,11710,송파구,영업,"",중식,44.88,서울특별시 송파구 삼전동 22-19번지,208057.918833864,444979.321291429
45,11710,송파구,영업,"",중식,89.10,서울특별시 송파구 잠실동 27-6번지 중앙상가 지하4호,208187.623477261,445589.718583334
46,11710,송파구,영업,"",한식,100.84,서울특별시 송파구 가락동 600-0번지 농수산물소매시장 동측중식당,209790.959909032,443481.212174317
47,11710,송파구,영업,"",한식,103.42,서울특별시 송파구 가락동 산 600-0번지 농수산물소매시장 서편식당,209790.959909032,443481.212174317
48,11710,송파구,폐업,20170222,한식,109.52,서울특별시 송파구 가락동 산 600-0번지 농수산물도매시장 써비동1층,209790.959909032,443481.212174317
49,11710,송파구,영업,"",한식,110.10,서울특별시 송파구 방이동 37-2번지 지상1층,209630.559399332,445882.78614088
50,11710,송파구,영업,"",한식,59.79,서울특별시 송파구 방이동 115-8번지 지상1층,210021.025402654,445262.873512546
51,11710,송파구,영업,"",한식,21.82,서울특별시 송파구 잠실동 27번지 B-4,208317.419891103,445894.98085039
52,11710,송파구,영업,"",치킨,81.78,서울특별시 송파구 방이동 61-7번지 2층,209634.698339502,445735.902377584
53,11710,송파구,영업,"",분식,27.79,서울특별시 송파구 송파동 22-0번지 104호,209497.777229207,445007.019828102
54,11710,송파구,영업,"",뷔페,1334.06,서울특별시 송파구 신천동 11-7번지,209243.169349927,445935.092530909
55,11710,송파구,영업,"",일식,806.59,서울특별시 송파구 삼전동 130-2,208461.711771104,444909.485167689
56,11710,송파구,폐업,20190307,주점,17.39,서울특별시 송파구 송파동 138-6번지,209910.022072737,445119.874831394
57,11710,송파구,영업,"",양식,28.23,서울특별시 송파구 송파동 145-7 지상1층,210135.885217878,444982.3758857
58,11710,송파구,폐업,20180413,양식,50.76,서울특별시 송파구 신천동 7번지 장미 A상가 203호,208707.089897534,446299.352775446
59,11710,송파구,폐업,20170320,치킨,34.00,서울특별시 송파구 삼전동 22-19번지 지상1층,208057.918833864,444979.321291429
60,11710,송파구,영업,"",한식,169.00,서울특별시 송파구 신천동 7번지,208707.089897534,446299.352775446
61,11710,송파구,영업,"",한식,31.83,서울특별시 송파구 방이동 166-17번지,210634.202384929,445570.498238024
62,11710,송파구,영업,"",한식,38.56,서울특별시 송파구 가락동 600-0번지 청과시장 1층 2호,209790.959909032,443481.212174317
63,11710,송파구,영업,"",한식,28.72,서울특별시 송파구 가락동 600-0번지 수산관련상품시장내,209790.959909032,443481.212174317
