id,시군구코드,행정구역(구별),상세영업상태명,폐업일자,업태구분명,소재지면적,지번주소,좌표정보(X),좌표정보(Y)
0,11560,영등포구,폐업,20190125,한식,27.01,서울특별시 영등포구 영등포동3가 13-4번지 1층,191971.867424014,446232.037788698
1,11560,영등포구,폐업,20181101,기타,28.77,서울특별시 영등포구 대림동 808-26번지,190686.640202175,443515.170917694
2,11560,영등포구,영업,"",한식,17.14,서울특별시 영등포구 영등포동7가 68-0번지,"",""
3,11560,영등포구,폐업,20190111,분식,36.96,서울특별시 영등포구 신길동 1573-0번지,192634.080889237,444421.639117113
4,11560,영등포구,영업,"",치킨,69.64,서울특별시 영등포구 당산동3가 228-8,190863.231861805,447118.06794499
5,11560,영등포구,영업,"",중식,100.52,서울특별시 영등포구 도림동 170-3번지,190964.766196882,445350.657173389
6,11560,영등포구,영업,"",중식,88.80,서울특별시 영등포구 영등포동4가 136-2번지 1~2층,191403.269109557,446355.881681363
7,11560,영등포구,영업,"",한식,116.20,서울특별시 영등포구 당산동2가 30번지,190353.106949004,446694.984242799
8,11560,영등포구,영업,"",한식,138.00,서울특별시 영등포구 영등포동4가 88-1번지 1층,191487.092809427,446296.178458053
9,11560,영등포구,영업,"",한식,199.20,서울특별시 영등포구 영등포동3가 7-14번지 1층지하1층,191673.357622901,446265.007495202
10,11560,영등포구,영업,"",한식,58.56,서울특별시 영등포구 영등포동5가 34-33번지,191751.278781557,446490.967668974
11,11560,영등포구,영업,"",한식,23.79,서울특별시 영등포구 영등포동3가 26-0번지 1~2층,191784.794564879,446222.791601545
12,11560,영등포구,영업,"",한식,44.03,서울특별시 영등포구 영등포동3가 14-3번지 1층,191896.825557641,446253.726636685
13,11560,영등포구,영업,"",분식,42.91,서울특별시 영등포구 대림동 960-4번지,191807.303340786,443275.178696938
14,11560,영등포구,영업,"",한식,75.93,서울특별시 영등포구 영등포동3가 13-15 1층,191924.584844508,446234.509045036
15,11560,영등포구,영업,"",중식,125.62,서울특별시 영등포구 대림동 960-6번지 1층  2층,191793.383543574,443245.432241917
16,11560,영등포구,영업,"",한식,99.80,서울특별시 영등포구 영등포동3가 7-32번지 1층,191687.104486202,446308.633744024
17,11560,영등포구,영업,"",중식,132.72,서울특별시 영등포구 대림동 989-3번지,191647.815617574,443023.874686308
18,11560,영등포구,영업,"",한식,84.24,서울특별시 영등포구 영등포동3가 15-10번지 지상1~2층,191791.777187624,446276.946269608
19,11560,영등포구,영업,"",한식,115.00,서울특별시 영등포구 영등포동2가 94-28,192185.469140553,446594.018308759
20,11560,영등포구,영업,"",한식,193.45,서울특별시 영등포구 영등포동3가 17-4번지 1~2층,191760.968092577,446263.27620361
21,11560,영등포구,폐업,20170220,양식,74.30,서울특별시 영등포구 영등포동3가 12-17번지,191935.312936049,446174.646226059
22,11560,영등포구,영업,"",한식,59.03,서울특별시 영등포구 영등포동3가 21-11번지 1층,191782.975612946,446177.786571395
23,11560,영등포구,폐업,20190111,한식,47.89,서울특별시 영등포구 영등포동3가 14-4번지 1층,191904.773466907,446246.7863161
24,11560,영등포구,영업,"",한식,1294.77,서울특별시 영등포구 여의도동 18-1번지,192414.155371198,447210.032241149
25,11560,영등포구,영업,"",한식,138.29,서울특별시 영등포구 영등포동3가 23-5번지 1층,191907.330286112,446195.468440609
26,11560,영등포구,영업,"",한식,77.10,서울특별시 영등포구 영등포동3가 15-1 1층,191813.137569112,446277.856998234
27,11560,영등포구,영업,"",중식,73.26,서울특별시 영등포구 영등포동3가 25-1번지 1층,191784.209891539,446243.957494011
28,11560,영등포구,영업,"",중식,43.50,서울특별시 영등포구 영등포동2가 34-2번지,191858.151121128,446501.776053877
29,11560,영등포구,영업,"",중식,95.85,서울특별시 영등포구 당산동6가 339-2번지,191034.015183366,448134.332720081
30,11560,영등포구,영업,"",중식,67.32,서울특별시 영등포구 당산동3가 395-3번지,190674.791403814,447200.188499549
31,11560,영등포구,영업,"",한식,46.03,서울특별시 영등포구 영등포동2가 269-1번지 1층,191963.578479215,446448.769021292
32,11560,영등포구,영업,"",한식,47.08,서울특별시 영등포구 영등포동3가 21번지 1층,191789.663812598,446148.686080404
33,11560,영등포구,영업,"",한식,40.42,서울특별시 영등포구 영등포동3가 12-17번지 1층,191935.312936049,446174.646226059
34,11560,영등포구,영업,"",한식,113.72,서울특별시 영등포구 영등포동3가 21번지 1층일부2층,191767.527556188,446147.419212092
35,11560,영등포구,폐업,20170713,양식,67.33,서울특별시 영등포구 신길동 163-21번지,192548.362984912,445556.316071268
36,11560,영등포구,영업,"",중식,167.05,서울특별시 영등포구 여의도동 12-5번지,193224.517898023,447474.871771651
37,11560,영등포구,영업,"",한식,31.07,서울특별시 영등포구 신길동 4080-0번지,192484.473434694,444039.840820386
38,11560,영등포구,폐업,20190207,중식,76.63,서울특별시 영등포구 여의도동 32-1번지 수정상가    1동  1 7호,193847.088620039,446705.207866491
39,11560,영등포구,영업,"",중식,137.00,서울특별시 영등포구 여의도동 21-3 서울상가 지하,193839.046526006,447113.612001932
40,11560,영등포구,영업,"",한식,27.54,서울특별시 영등포구 여의도동 54-2번지 진주상가,193915.13139016,446295.859134763
41,11560,영등포구,영업,"",한식,78.27,서울특별시 영등포구 문래동2가 2-0번지,190751.824108365,445672.655275317
42,11560,영등포구,영업,"",한식,165.00,서울특별시 영등포구 양평동4가 29-1번지,190893.131686915,448122.912235512
43,11560,영등포구,폐업,20180614,한식,16.67,서울특별시 영등포구 문래동2가 17-1번지,190626.653449819,445651.106270877
44,11560,영등포구,영업,"",한식,79.20,서울특별시 영등포구 영등포동2가 197,192009.675520792,446396.720475895
45,11560,영등포구,영업,"",한식,21.19,서울특별시 영등포구 대림동 991-1번지 지상1층,191461.889639753,443080.629160076
46,11560,영등포구,영업,"",양식,41.97,서울특별시 영등포구 영등포동3가 4-7번지,191769.314678876,446310.154682683
47,11560,영등포구,영업,"",중식,638.85,서울특별시 영등포구 여의도동 43-3번지 홍우빌딩    동,193844.169062846,446511.783285705
48,11560,영등포구,영업,"",한식,26.52,서울특별시 영등포구 여의도동 44-14번지 경도상가 1층 122호,193870.812916718,446351.97420108
49,11560,영등포구,폐업,20170612,한식,88.98,서울특별시 영등포구 영등포동2가 94-253번지,191955.046063979,446727.352408287
50,11560,영등포구,영업,"",분식,24.64,서울특별시 영등포구 영등포동3가 13-11번지 1층,191922.325301718,446192.365391748
51,11560,영등포구,폐업,20191223,한식,38.64,서울특별시 영등포구 영등포동6가 6-1번지 1층,191463.834236503,446454.717780378
52,11560,영등포구,영업,"",한식,26.91,서울특별시 영등포구 여의도동 44-14번지 경도상가    1동  119호,193870.812916718,446351.97420108
53,11560,영등포구,영업,"",한식,120.48,서울특별시 영등포구 문래동3가 54-30번지,190760.799466343,445806.11689565
54,11560,영등포구,영업,"",한식,69.03,서울특별시 영등포구 영등포동3가 19-8번지 1층,191693.994323533,446175.202874217
